Codigo;CodTipo;Tipo;coordenadas
343;1;Cajeros Automáticos;-79.227944,-0.941472
344;1;Cajeros Automáticos;-79.470977,-1.017996
345;1;Cajeros Automáticos;-79.467704,-1.027585
346;1;Cajeros Automáticos;-79.466245,-1.025279
347;1;Cajeros Automáticos;-79.466149,-1.024946
348;1;Cajeros Automáticos;-79.468589,-1.030557
349;1;Cajeros Automáticos;-79.466326,-1.043415
350;1;Cajeros Automáticos;-79.503387,-1.187105
351;1;Cajeros Automáticos;-79.468184,-1.009976
352;1;Cajeros Automáticos;-79.468588,-1.030609
353;1;Cajeros Automáticos;-79.544109,-1.811691
354;1;Cajeros Automáticos;-79.54554,-1.812917
355;1;Cajeros Automáticos;-79.532323,-1.797661
356;1;Cajeros Automáticos;-79.523009,-1.800713
357;1;Cajeros Automáticos;-79.530057,-1.803949
358;1;Cajeros Automáticos;-79.545263,-1.81292
359;1;Cajeros Automáticos;-80.388877,-2.634874
360;1;Cajeros Automáticos;-80.386604,-2.634299
361;1;Cajeros Automáticos;-80.385122,-2.642939
362;1;Cajeros Automáticos;-80.24435,-2.710935
363;1;Cajeros Automáticos;-79.461574,-1.441885
364;1;Cajeros Automáticos;-79.534908,-1.550607
365;1;Cajeros Automáticos;-79.9816054,-1.6288
366;1;Cajeros Automáticos;-80.234417,-1.816056
367;1;Cajeros Automáticos;-79.987533,-1.715794
368;1;Cajeros Automáticos;-79.98085,-1.862978
369;1;Cajeros Automáticos;-80.084625,-1.879436
370;1;Cajeros Automáticos;-80.011055,-1.913965
371;1;Cajeros Automáticos;-80.137937,-1.876641
372;1;Cajeros Automáticos;-79.975963,-1.854796
373;1;Cajeros Automáticos;-79.977783,-1.861287
374;1;Cajeros Automáticos;-80.458469,-1.052355
375;1;Cajeros Automáticos;-80.458748,-1.062195
376;1;Cajeros Automáticos;-80.451094,-1.057973
377;1;Cajeros Automáticos;-80.457129,-1.058571
378;1;Cajeros Automáticos;-80.465904,-1.010477
379;1;Cajeros Automáticos;-80.465689,-1.06081
380;1;Cajeros Automáticos;-80.450546,-0.924861
381;1;Cajeros Automáticos;-80.464899,-1.027923
382;1;Cajeros Automáticos;-80.467956,-1.062784
383;1;Cajeros Automáticos;-79.40517,-2.329983
384;1;Cajeros Automáticos;-79.618977,-2.675232
385;1;Cajeros Automáticos;-80.423845,-0.610883
386;1;Cajeros Automáticos;-80.910869,-2.221484
387;1;Cajeros Automáticos;-80.753075,-1.826766
388;1;Cajeros Automáticos;-80.910463,-2.224075
389;1;Cajeros Automáticos;-80.899641,-2.226884
390;1;Cajeros Automáticos;-80.960904,-2.204809
391;1;Cajeros Automáticos;-80.907133,-2.229766
392;1;Cajeros Automáticos;-80.963844,-2.205195
393;1;Cajeros Automáticos;-80.712813,-0.950849
394;1;Cajeros Automáticos;-80.690342,-0.995751
395;1;Cajeros Automáticos;-80.69952,-0.97274
396;1;Cajeros Automáticos;-80.73824,-0.94475
397;1;Cajeros Automáticos;-80.705411,-0.966472
398;1;Cajeros Automáticos;-80.648149,-0.945081
399;1;Cajeros Automáticos;-80.711048,-0.97399
400;1;Cajeros Automáticos;-80.751506,-0.957361
401;1;Cajeros Automáticos;-80.690413,-0.960897
402;1;Cajeros Automáticos;-80.660455,-1.04976
403;1;Cajeros Automáticos;-80.700521,-0.951292
404;1;Cajeros Automáticos;-80.702044,-0.949018
405;1;Cajeros Automáticos;-80.716725,-0.954855
406;1;Cajeros Automáticos;-80.465126,-1.048528
407;1;Cajeros Automáticos;-80.458367,-1.053827
408;1;Cajeros Automáticos;-80.859218,-2.226305
409;1;Cajeros Automáticos;-80.866217,-2.216217
410;1;Cajeros Automáticos;-79.463607,-2.167516
411;1;Cajeros Automáticos;-79.463285,-2.168803
412;1;Cajeros Automáticos;-79.437216,-2.209289
413;1;Cajeros Automáticos;-79.465576,-2.168925
414;1;Cajeros Automáticos;-79.322775,-2.138793
415;1;Cajeros Automáticos;-80.093103,-0.698141
416;1;Cajeros Automáticos;-80.095019,-0.697287
417;1;Cajeros Automáticos;-80.164916,-0.847277
418;1;Cajeros Automáticos;-80.102454,-0.708013
419;1;Cajeros Automáticos;-80.234558,-0.785896
420;1;Cajeros Automáticos;-80.580261,-1.348909
421;1;Cajeros Automáticos;-80.590299,-1.358083
422;1;Cajeros Automáticos;-79.753448,-1.556271
423;1;Cajeros Automáticos;-79.593995,-2.136325
424;1;Cajeros Automáticos;-79.594918,-2.135393
425;1;Cajeros Automáticos;-79.467721,-1.003344
426;1;Cajeros Automáticos;-79.490321,-0.896882
427;1;Cajeros Automáticos;-80.705985,-0.967157
428;1;Cajeros Automáticos;-80.708007,-0.964642
429;1;Cajeros Automáticos;-79.637977,-1.043652
430;1;Cajeros Automáticos;-79.489789,-0.892341
431;1;Cajeros Automáticos;-80.920857,-2.227597
432;1;Cajeros Automáticos;-80.920857,-2.227597
433;1;Cajeros Automáticos;-79.520886,-1.806873
434;1;Cajeros Automáticos;-79.980705,-1.864161
435;1;Cajeros Automáticos;-80.079599,-2.234638
436;1;Cajeros Automáticos;-80.86731,-2.214126
437;1;Cajeros Automáticos;-80.751496,-1.828075
438;1;Cajeros Automáticos;-79.81293,-1.829617
439;1;Cajeros Automáticos;-80.73221,-0.942016
440;1;Cajeros Automáticos;-80.73221,-0.942016
441;1;Cajeros Automáticos;-78.488912,-0.201068
442;1;Cajeros Automáticos;-78.488124,-0.200099
443;1;Cajeros Automáticos;-78.490666,-0.202676
444;1;Cajeros Automáticos;-78.485679,-0.202083
445;1;Cajeros Automáticos;-78.482617,-0.210969
446;1;Cajeros Automáticos;-78.485604,-0.199212
447;1;Cajeros Automáticos;-78.484141,-0.204582
448;1;Cajeros Automáticos;-78.485174,-0.16346
449;1;Cajeros Automáticos;-78.4789,-0.165847
450;1;Cajeros Automáticos;-78.48473,-0.17812
451;1;Cajeros Automáticos;-78.48473,-0.17812
452;1;Cajeros Automáticos;-78.477954,-0.180568
453;1;Cajeros Automáticos;-78.476995,-0.174276
454;1;Cajeros Automáticos;-78.502141,-0.21359
455;1;Cajeros Automáticos;-78.499629,-0.212778
456;1;Cajeros Automáticos;-78.496706,-0.21482
457;1;Cajeros Automáticos;-78.490867,-0.20945
458;1;Cajeros Automáticos;-78.494295,-0.131803
459;1;Cajeros Automáticos;-78.498463,-0.133719
460;1;Cajeros Automáticos;-78.493417,-0.123061
461;1;Cajeros Automáticos;-78.497767,-0.127207
462;1;Cajeros Automáticos;-78.492554,-0.120377
463;1;Cajeros Automáticos;-78.495645,-0.114562
464;1;Cajeros Automáticos;-78.478213,-0.110384
465;1;Cajeros Automáticos;-78.453461,-0.103832
466;1;Cajeros Automáticos;-78.472374,-0.128915
467;1;Cajeros Automáticos;-78.481555,-0.133718
468;1;Cajeros Automáticos;-78.493292,-0.202764
469;1;Cajeros Automáticos;-78.502099,-0.200777
470;1;Cajeros Automáticos;-78.502571,-0.205344
471;1;Cajeros Automáticos;-78.498903,-0.200351
472;1;Cajeros Automáticos;-78.495693,-0.205267
473;1;Cajeros Automáticos;-78.477514,-0.12772
474;1;Cajeros Automáticos;-78.467577,-0.124272
475;1;Cajeros Automáticos;-78.474205,-0.141885
476;1;Cajeros Automáticos;-78.472057,-0.163697
477;1;Cajeros Automáticos;-78.473909,-0.154499
478;1;Cajeros Automáticos;-78.482359,-0.144407
479;1;Cajeros Automáticos;-78.469669,-0.128336
480;1;Cajeros Automáticos;-78.484498,-0.154581
481;1;Cajeros Automáticos;-78.468353,-0.137602
